person_income,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status,person_gender_male,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes
106566,28000,9,0,3,604,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
15252,4200,13,0,4,663,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
15432,4750,7,0,2,601,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100332,28000,15,0,4,634,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
300951,18000,12,0,3,671,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
300616,4800,13,0,3,789,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
121062,28000,12,0,3,622,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
133372,28000,8,0,2,538,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
15505,2700,11,0,4,587,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
130852,28000,11,0,4,683,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
182316,28000,11,0,2,634,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
83853,27600,11,0,2,690,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
15394,3250,15,0,3,518,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85243,27500,13,0,3,583,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
288907,25000,11,0,2,617,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
89074,27050,15,0,2,668,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
100509,27000,13,0,2,673,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
88950,27000,11,0,3,706,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
75894,26000,11,0,2,536,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
145092,25600,12,0,3,557,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
15928,1600,13,0,3,689,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
73131,25475,10,0,3,681,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
281501,20000,14,0,4,623,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
281775,20000,8,0,4,595,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
281792,21600,12,0,3,584,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
266090,11900,14,0,3,669,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
279664,25000,14,0,2,642,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
277017,35000,13,0,4,622,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
100756,25300,10,0,3,689,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
16218,2000,5,0,4,614,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
16211,1750,13,0,3,597,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
51922,25000,12,0,3,673,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
50309,25000,11,0,3,625,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
16378,3000,12,0,4,603,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
16572,3650,9,0,3,589,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
272201,20000,11,0,4,670,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
271324,30000,19,0,2,637,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
256862,35000,10,0,2,643,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
271342,6000,11,0,4,508,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
16470,4500,11,0,4,643,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16599,2400,13,0,2,505,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
51608,25000,14,0,2,593,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
58516,25000,9,0,4,686,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
16395,3600,14,0,3,646,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
16890,4750,11,0,3,645,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
51747,25000,16,0,3,697,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
59864,25000,10,0,2,648,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
270972,25000,18,0,2,640,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
270870,3000,9,0,4,681,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
270729,7500,8,0,2,646,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
270877,25000,10,0,2,615,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
60501,25000,11,0,3,687,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
60754,25000,7,0,3,650,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
60829,25000,5,0,2,588,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
53825,25000,15,0,2,652,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
60801,25000,11,0,4,658,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
60747,25000,10,0,2,634,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
61029,25000,12,0,3,623,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
63236,25000,11,0,4,635,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17149,4950,7,0,4,531,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
265066,25000,11,0,2,665,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
260205,21000,8,0,3,703,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260035,25000,16,0,3,585,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
260444,20000,14,0,2,594,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
258980,35000,14,0,3,618,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
259081,12000,7,0,2,626,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
63497,25000,13,0,2,695,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
56325,25000,11,0,4,690,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
64842,25000,13,0,4,574,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
57856,25000,15,0,2,602,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
57318,25000,17,0,2,679,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
16916,1400,9,0,4,615,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
16664,4500,12,0,4,601,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
252803,16000,10,0,4,577,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
253061,22000,11,0,4,588,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
58602,25000,18,0,2,595,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
67012,25000,11,0,4,653,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
66643,25000,11,0,4,663,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
66599,25000,11,0,3,653,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
67212,25000,15,0,3,598,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
66918,25000,13,0,4,630,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
68066,25000,12,0,2,637,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
245545,20000,13,0,3,660,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
229083,22000,17,0,3,639,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17859,7750,17,0,4,626,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
72608,25000,10,0,3,612,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
73073,25000,11,0,3,628,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
65880,25000,14,0,2,592,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
17755,4000,11,0,3,580,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
241180,12000,12,0,2,634,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
240894,12000,13,0,2,678,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
240980,16000,14,0,4,557,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
65742,25000,16,0,4,672,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
72713,25000,12,0,3,613,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
72627,25000,10,0,4,566,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
72843,25000,10,0,4,718,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
75504,25000,12,0,2,484,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
68824,25000,14,0,3,634,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
241167,28000,11,0,2,653,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
241060,25000,13,0,2,699,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
240855,24000,7,0,4,656,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
241030,15000,14,0,3,626,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
240895,15500,11,0,2,659,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
240932,10000,8,0,4,604,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
80145,25000,9,0,2,636,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
80303,25000,13,0,3,554,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
241048,9000,6,0,4,587,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
241424,6000,11,0,2,807,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
241005,18000,16,0,3,708,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
240768,12000,10,0,2,669,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
241201,23050,14,0,3,578,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
240920,20000,11,0,3,615,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72919,25000,11,0,2,553,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18008,3000,11,0,4,635,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
81238,25000,15,0,2,531,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
80868,25000,7,0,4,621,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
81537,25000,10,0,3,674,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
82741,25000,14,0,3,688,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
83901,25000,17,0,2,597,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
240717,12000,11,0,3,640,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
226744,20000,17,0,2,621,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241114,3000,13,0,3,608,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
85284,25000,15,0,3,653,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
18152,4000,10,0,3,585,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
84871,25000,11,0,4,569,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
18294,6000,7,0,3,587,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
68029,25000,16,0,4,631,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
80001,25000,15,0,2,592,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
79875,25000,11,0,4,679,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
18449,5375,5,0,2,645,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
88153,25000,13,0,2,669,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
90109,25000,10,0,3,653,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
90938,25000,10,0,2,577,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
231335,22000,11,0,2,668,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
231829,20000,6,0,4,629,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
230516,10000,12,0,4,643,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229626,15000,11,0,3,626,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
228907,10000,11,0,3,560,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
90938,25000,10,0,4,648,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
86284,25000,15,0,4,648,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
228774,20000,12,0,4,669,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
229027,24000,11,0,3,536,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
94789,25000,11,0,2,548,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
94780,25000,10,0,3,667,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
95298,25000,10,0,3,676,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
223944,10000,10,0,4,570,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
222629,35000,12,0,2,623,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
222973,15000,15,0,2,652,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
75240,25000,15,0,2,625,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
96143,25000,15,0,2,642,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
18064,6250,14,0,2,580,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
96627,25000,15,0,2,622,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
96309,25000,13,0,4,581,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
18421,1500,11,0,4,623,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
96836,25000,6,0,2,583,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
96947,25000,13,0,4,645,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
222975,25000,11,0,2,593,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
222985,5000,7,0,2,659,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
223064,22000,14,0,4,655,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
221559,2500,11,0,2,583,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
207712,20000,13,0,4,582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220872,20000,11,0,3,504,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
220518,1000,11,0,2,551,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
220510,15000,6,0,3,529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
89818,25000,16,0,4,674,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
90006,25000,11,0,4,595,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
98704,25000,7,0,3,597,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
98967,25000,11,0,3,566,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
99435,25000,10,0,2,666,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
100658,25000,11,0,3,695,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
100435,25000,12,0,3,576,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
216925,18000,18,0,4,651,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
216891,28000,7,0,3,633,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
18512,4000,16,0,2,566,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
18367,2100,11,0,4,583,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
102317,25000,18,0,4,586,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
103400,25000,10,0,4,592,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
217134,14000,11,0,2,598,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
217024,12000,9,0,4,637,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
172215,10000,18,0,4,628,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
18831,6000,11,0,4,667,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
105349,25000,14,0,3,621,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
91184,25000,14,0,3,668,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
91886,25000,16,0,4,544,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
80452,25000,15,0,2,699,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
108758,25000,10,0,4,611,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
18916,6200,7,0,2,615,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
217234,25000,10,0,4,559,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
217017,21000,11,0,3,577,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
216874,20000,14,0,4,657,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
216833,10000,8,0,4,676,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
216483,9950,11,0,2,601,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
19000,4475,11,0,4,647,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
94363,25000,16,0,3,576,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
80570,25000,17,0,4,612,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
109167,25000,11,0,3,678,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
95753,25000,14,0,4,542,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110935,25000,13,0,3,709,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
111490,25000,12,0,3,622,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
111729,25000,12,0,4,642,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
113396,25000,15,0,4,660,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
19175,1750,12,0,3,587,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
85787,25000,19,0,4,646,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
102114,25000,15,0,3,637,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
211005,2600,8,0,4,718,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
210903,8000,7,0,2,588,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
210555,18000,11,0,2,652,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
210937,21000,11,0,3,620,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
19062,4000,13,0,4,667,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18926,4600,10,0,2,688,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
106694,25000,15,0,2,667,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90718,25000,10,0,2,692,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
106668,25000,14,0,4,562,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
19158,1750,15,0,4,625,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
106419,25000,15,0,3,649,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
120696,25000,9,0,4,545,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
19065,3600,13,0,4,540,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
124083,25000,10,0,3,637,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
111673,25000,16,0,4,600,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
112633,25000,14,0,2,633,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
210938,3500,11,0,2,588,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
210720,7200,8,0,3,624,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
210705,9000,10,0,3,525,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
209997,8800,14,0,3,616,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
209873,12000,12,0,4,675,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
195268,25000,16,0,3,662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209393,10000,11,0,4,585,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
18773,3175,11,0,3,686,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
116439,25000,15,0,4,595,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
19169,1500,10,0,2,537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
118417,25000,12,0,2,625,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
133476,25000,11,0,2,641,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
